"tau","2","2.5","3","3.5","4","4.5","5","5.5","6"
12,-1468.13860009221,-1563.47539141797,-1649.32617142004,-1727.49299804258,-1799.28958697244,-1865.70820021368,-1927.51937499546,-1985.33498734962,-2039.64995802631
24,-1291.95304826772,-1379.48326154662,-1458.7024823964,-1531.14331573029,-1597.92816187288,-1659.90909895746,-1717.75134576512,-1771.98601243098,-1823.04500114197
36,-1234.18216701003,-1319.40132489542,-1396.69760399587,-1467.50688710804,-1532.88300178735,-1593.62809097587,-1650.37025604607,-1703.61256359465,-1753.76544364476
48,-1209.64265057289,-1294.55640245114,-1371.68940443959,-1442.42313632,-1507.77377393995,-1568.51706974385,-1625.26255379292,-1678.50027456674,-1728.63165053145
60,-1196.66072517147,-1282.34418076348,-1360.26194416776,-1431.74494908366,-1497.77426705571,-1559.10152587492,-1616.32017842496,-1669.91020601382,-1720.26749494809
72,-1187.02243048994,-1274.19410604311,-1353.50374928234,-1426.20405273377,-1493.21719672175,-1555.2514510947,-1612.86982443488,-1666.53277209373,-1716.62592378878
84,-1176.90807099572,-1266.1159171261,-1347.19873522851,-1421.24923268399,-1489.05701603862,-1551.22572338672,-1608.24262744351,-1660.52173137688,-1708.43080248336
96,-1164.2821756976,-1255.95136086909,-1338.89516179713,-1413.84348390496,-1481.26854888743,-1541.52906343013,-1594.96409930551,-1641.9507319216,-1682.93140476077
108,-1147.92752903322,-1242.29624296262,-1326.56731708054,-1400.6239131178,-1464.2352844747,-1517.36870500674,-1560.39917659269,-1594.16851495479,-1619.89330027201
120,-1127.00802574492,-1223.85026579455,-1307.35582134412,-1375.53387696991,-1427.1447496465,-1462.65708806077,-1484.34605535018,-1495.51616253539,-1499.50844749464
132,-1100.78967172055,-1198.56132053141,-1275.20493506378,-1325.8071982511,-1350.90284755524,-1356.69008903133,-1351.01209503398,-1340.00598849027,-1327.39128535458
144,-1068.26351939563,-1161.565171992,-1216.22648982245,-1230.30974746993,-1218.46627259746,-1196.5815508138,-1173.48279399758,-1152.61379261537,-1134.89756290213
156,-1027.09100709411,-1099.97412256149,-1107.44660797924,-1077.9646910597,-1041.80695851555,-1009.9396091778,-984.195916886776,-963.943704719552,-948.150237308902
168,-969.774106698993,-988.150279665364,-942.00645769502,-892.815606015944,-854.480951981979,-826.015584488058,-804.905306225233,-789.154010850017,-777.353105680488
180,-872.616112808984,-815.643548038584,-752.404176664953,-708.52959373417,-678.514395501132,-657.48058469587,-642.440626314438,-631.562539998866,-623.676671440391
192,-703.954626561944,-621.319957797641,-571.340513959578,-540.37461387373,-520.034018662577,-506.165023653,-496.521811999301,-489.784100970769,-485.123129371119
204,-499.827938744802,-440.767838569096,-409.249457528908,-390.25331028045,-378.054693486409,-369.980304005781,-364.597565017752,-361.063365637944,-358.846942365117
